                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2375,                 1.0807,                 1.1992,                0.93297,                0.93689,                0.96803,                0.69006,                 1.0083,                0.44048,                  1.074,             0.00023465,             0.00023465,             0.00023465
                      2,                0.98311,                0.44895,                 1.0394,                0.98354,                0.97868,                0.99162,                0.73685,                0.95248,                 0.3475,                 1.0471,             0.00046797,             0.00046797,             0.00046797
                      3,                0.92607,                0.43912,                 1.0319,                0.98004,                0.97332,                0.99261,                0.75155,                0.90057,                0.36551,                 1.0174,             0.00069658,             0.00069658,             0.00069658
                      4,                0.90588,                0.42452,                 1.0078,                0.95651,                0.96361,                0.97614,                0.75018,                0.88211,                0.44446,                 1.0042,             0.00069279,             0.00069279,             0.00069279
                      5,                  0.856,                0.41808,                0.99513,                0.98341,                0.98791,                0.99449,                0.78342,                0.81264,                0.32349,                0.97573,             0.00069279,             0.00069279,             0.00069279
                      6,                 0.8279,                0.39355,                0.97905,                 0.9911,                0.98688,                0.99471,                  0.792,                0.81803,                0.32346,                  0.972,             0.00068573,             0.00068573,             0.00068573
                      7,                0.80485,                0.38656,                0.96943,                 0.9913,                 0.9873,                0.99485,                0.80505,                 0.7916,                0.30587,                0.97335,             0.00067866,             0.00067866,             0.00067866
                      8,                0.79841,                0.37325,                 0.9756,                0.99887,                0.98496,                0.99459,                0.80224,                0.77513,                0.29818,                 0.9644,             0.00067159,             0.00067159,             0.00067159
                      9,                0.79188,                0.38261,                0.97046,                0.99363,                0.98637,                0.99481,                 0.8111,                 0.7517,                0.29161,                0.96481,             0.00066452,             0.00066452,             0.00066452
                     10,                0.78039,                0.37169,                0.95273,                0.99017,                0.98445,                0.99253,                0.80771,                0.76527,                0.30462,                0.96091,             0.00065745,             0.00065745,             0.00065745
                     11,                0.76771,                0.36138,                0.96198,                0.99264,                0.98927,                0.99463,                0.80862,                0.74446,                0.29697,                0.96351,             0.00065038,             0.00065038,             0.00065038
                     12,                 0.7467,                0.35376,                0.95908,                0.99664,                0.98393,                0.99439,                0.82076,                0.72481,                0.29354,                0.95694,             0.00064331,             0.00064331,             0.00064331
                     13,                0.74177,                0.35662,                0.95054,                0.99476,                0.98579,                0.99362,                0.80508,                0.76522,                0.30685,                0.96599,             0.00063625,             0.00063625,             0.00063625
                     14,                0.72689,                0.35238,                0.93767,                0.99369,                0.98854,                0.99451,                0.82779,                0.71954,                0.28677,                 0.9474,             0.00062918,             0.00062918,             0.00062918
                     15,                0.72662,                0.35252,                0.93957,                0.98672,                0.98735,                0.99442,                0.82821,                0.71156,                0.29197,                0.94267,             0.00062211,             0.00062211,             0.00062211
                     16,                 0.7204,                0.34983,                0.93934,                0.99348,                0.98036,                0.99434,                0.80979,                0.74709,                0.29955,                0.95111,             0.00061504,             0.00061504,             0.00061504
                     17,                0.68686,                0.33516,                0.92215,                0.98994,                0.99254,                0.99482,                0.83354,                0.70704,                0.28421,                0.94585,             0.00060797,             0.00060797,             0.00060797
                     18,                0.69417,                0.34091,                0.94187,                0.99496,                0.98999,                0.99486,                0.82583,                0.71107,                0.28829,                0.94707,              0.0006009,              0.0006009,              0.0006009
                     19,                0.71697,                0.35817,                0.94922,                0.99627,                0.98323,                0.99475,                0.83952,                0.68045,                0.28229,                0.94123,             0.00059383,             0.00059383,             0.00059383
                     20,                0.66385,                0.32638,                0.92745,                0.99618,                0.99108,                0.99488,                0.82755,                0.70969,                0.29338,                0.95486,             0.00058677,             0.00058677,             0.00058677
                     21,                0.68985,                0.33675,                0.93709,                0.99641,                0.99378,                0.99443,                0.83596,                0.69067,                0.28295,                0.94231,              0.0005797,              0.0005797,              0.0005797
                     22,                0.66639,                0.32694,                0.92674,                0.99472,                0.98845,                0.99278,                0.82753,                0.70975,                0.28311,                0.95073,             0.00057263,             0.00057263,             0.00057263
                     23,                0.67402,                0.33042,                0.92328,                0.99834,                0.98612,                0.99296,                 0.8325,                0.68408,                0.28225,                0.93573,             0.00056556,             0.00056556,             0.00056556
                     24,                0.67987,                0.33195,                0.93156,                0.99201,                 0.9877,                0.99472,                0.83409,                0.68116,                0.28345,                0.94137,             0.00055849,             0.00055849,             0.00055849
                     25,                0.68251,                0.32783,                0.93853,                0.99361,                 0.9895,                0.99307,                0.83092,                0.68383,                0.27662,                 0.9412,             0.00055142,             0.00055142,             0.00055142
                     26,                0.65116,                0.31626,                 0.9118,                0.99097,                0.99236,                0.99444,                0.84587,                0.65404,                0.27498,                 0.9303,             0.00054435,             0.00054435,             0.00054435
                     27,                  0.641,                0.31436,                0.91994,                0.99569,                0.98724,                0.99461,                0.84605,                0.67441,                  0.275,                0.93841,             0.00053728,             0.00053728,             0.00053728
                     28,                0.64408,                 0.3152,                0.91564,                0.99426,                0.99068,                0.99385,                0.84237,                0.67125,                 0.2739,                0.93505,             0.00053022,             0.00053022,             0.00053022
                     29,                0.65374,                0.31083,                0.91424,                0.99358,                0.98729,                0.99436,                0.84396,                0.66871,                0.26805,                0.93208,             0.00052315,             0.00052315,             0.00052315
                     30,                0.60667,                0.30529,                0.89623,                0.99107,                0.98814,                0.99416,                0.84793,                0.65036,                0.26141,                0.91839,             0.00051608,             0.00051608,             0.00051608
                     31,                 0.6254,                0.29903,                0.90464,                0.99286,                0.98823,                0.99451,                0.85169,                0.65678,                0.26297,                0.92285,             0.00050901,             0.00050901,             0.00050901
                     32,                0.62916,                 0.3066,                0.91281,                0.99542,                0.98964,                0.99442,                0.83507,                0.67256,                0.26174,                0.93443,             0.00050194,             0.00050194,             0.00050194
                     33,                0.61372,                 0.2937,                0.90917,                0.98802,                0.99216,                0.99457,                0.84768,                0.65762,                0.26251,                 0.9282,             0.00049487,             0.00049487,             0.00049487
                     34,                0.61912,                  0.295,                0.89854,                0.99449,                0.98959,                0.99407,                 0.8408,                0.67029,                 0.2691,                 0.9367,              0.0004878,              0.0004878,              0.0004878
                     35,                 0.6171,                 0.2976,                0.89649,                0.99326,                0.98681,                0.99306,                0.84158,                0.65265,                0.26737,                0.92717,             0.00048074,             0.00048074,             0.00048074
                     36,                0.61468,                0.29493,                0.90153,                0.99532,                0.99103,                0.99449,                0.85062,                0.65091,                0.25204,                0.92076,             0.00047367,             0.00047367,             0.00047367
                     37,                0.61044,                0.29394,                0.90311,                0.99589,                0.98759,                0.99314,                0.83676,                0.68095,                0.26381,                0.93959,              0.0004666,              0.0004666,              0.0004666
                     38,                0.58723,                0.29107,                0.88846,                0.99189,                0.99108,                0.99407,                0.85557,                0.63699,                0.25394,                0.92129,             0.00045953,             0.00045953,             0.00045953
                     39,                0.58224,                0.27958,                0.89137,                  0.998,                0.98968,                0.99487,                0.85575,                0.63459,                0.25138,                0.91897,             0.00045246,             0.00045246,             0.00045246
                     40,                0.60487,                  0.293,                0.90454,                0.99808,                0.98968,                0.99479,                0.85703,                0.63628,                0.25488,                 0.9246,             0.00044539,             0.00044539,             0.00044539
                     41,                0.58641,                0.29138,                0.89326,                0.99434,                0.99124,                0.99389,                0.84998,                0.64172,                 0.2534,                0.92671,             0.00043832,             0.00043832,             0.00043832
                     42,                0.58697,                0.28696,                0.90364,                0.99425,                0.99278,                0.99487,                0.85105,                0.63732,                0.25043,                0.92303,             0.00043126,             0.00043126,             0.00043126
                     43,                0.58577,                0.28594,                0.89464,                0.99357,                0.99271,                0.99472,                0.85595,                 0.6166,                0.24462,                0.91417,             0.00042419,             0.00042419,             0.00042419
                     44,                0.56579,                 0.2853,                0.88775,                 0.9904,                0.99557,                 0.9949,                0.85935,                0.62653,                 0.2499,                0.91871,             0.00041712,             0.00041712,             0.00041712
                     45,                0.57434,                0.28653,                0.89964,                0.99461,                0.99067,                0.99494,                0.85683,                0.62296,                0.25621,                0.91682,             0.00041005,             0.00041005,             0.00041005
                     46,                0.57841,                0.28595,                0.89699,                0.99388,                0.99214,                0.99481,                0.85415,                0.62956,                0.25212,                0.92151,             0.00040298,             0.00040298,             0.00040298
                     47,                0.57552,                0.29552,                0.88967,                0.99361,                 0.9904,                0.99487,                0.85767,                 0.6142,                 0.2481,                0.91148,             0.00039591,             0.00039591,             0.00039591
                     48,                0.55845,                0.27537,                0.88204,                0.99581,                0.99553,                0.99448,                0.86507,                0.60076,                0.23549,                0.90817,             0.00038884,             0.00038884,             0.00038884
                     49,                0.55139,                0.27612,                0.88745,                 0.9922,                0.99412,                0.99481,                0.85916,                0.62041,                 0.2401,                0.91303,             0.00038178,             0.00038178,             0.00038178
                     50,                 0.5649,                0.28357,                0.88007,                0.99192,                0.98886,                0.99442,                 0.8505,                0.64053,                0.25174,                0.91656,             0.00037471,             0.00037471,             0.00037471
                     51,                0.55257,                0.27689,                0.88196,                0.99729,                0.99008,                0.99478,                 0.8605,                0.61513,                0.24526,                0.91456,             0.00036764,             0.00036764,             0.00036764
                     52,                0.55977,                0.27846,                0.88395,                0.99119,                 0.9911,                0.99414,                0.84563,                0.65596,                0.25236,                0.92857,             0.00036057,             0.00036057,             0.00036057
                     53,                0.55266,                0.27571,                   0.89,                0.99366,                0.99127,                0.99443,                0.85726,                0.62343,                0.24438,                0.91959,              0.0003535,              0.0003535,              0.0003535
                     54,                0.53633,                0.26292,                0.87549,                0.99469,                0.99052,                0.99462,                0.86118,                0.60695,                0.24164,                0.91395,             0.00034643,             0.00034643,             0.00034643
                     55,                0.53027,                0.26566,                0.87799,                0.99253,                0.99219,                0.99428,                0.85778,                0.61702,                0.24427,                0.91623,             0.00033936,             0.00033936,             0.00033936
                     56,                0.54775,                0.26384,                0.88197,                0.99244,                0.99378,                0.99474,                 0.8637,                0.59891,                0.23815,                0.91026,              0.0003323,              0.0003323,              0.0003323
                     57,                0.52853,                 0.2648,                0.86962,                0.99821,                0.98808,                0.99364,                0.86807,                 0.5939,                 0.2353,                0.91086,             0.00032523,             0.00032523,             0.00032523
                     58,                0.52802,                0.26384,                0.87418,                0.99551,                0.99262,                 0.9939,                 0.8725,                0.58941,                0.23885,                0.90642,             0.00031816,             0.00031816,             0.00031816
                     59,                0.54406,                0.26979,                0.87507,                0.99589,                0.99412,                0.99478,                0.85947,                0.60978,                0.23792,                0.91584,             0.00031109,             0.00031109,             0.00031109
                     60,                0.54017,                0.26524,                0.88699,                0.99841,                0.99306,                0.99481,                0.86698,                0.59708,                0.23488,                0.90951,             0.00030402,             0.00030402,             0.00030402
                     61,                 0.5327,                0.26322,                0.88435,                0.99756,                 0.9915,                0.99437,                0.86537,                 0.5962,                 0.2382,                0.91046,             0.00029695,             0.00029695,             0.00029695
                     62,                0.51948,                0.25676,                0.87292,                 0.9951,                0.99379,                0.99471,                0.87023,                0.59516,                0.23318,                0.90836,             0.00028988,             0.00028988,             0.00028988
                     63,                0.51432,                0.25525,                0.86434,                0.99194,                0.99406,                 0.9945,                0.87187,                0.58826,                0.22934,                0.90626,             0.00028282,             0.00028282,             0.00028282
                     64,                0.50317,                0.24928,                0.86477,                0.99602,                0.98909,                0.99356,                0.86931,                0.59259,                0.23402,                0.90975,             0.00027575,             0.00027575,             0.00027575
                     65,                0.49522,                0.25072,                0.85997,                0.98975,                0.99364,                0.99452,                 0.8638,                0.60563,                0.24053,                0.91673,             0.00026868,             0.00026868,             0.00026868
                     66,                0.52332,                0.25653,                0.89103,                 0.9983,                0.98862,                0.99394,                 0.8669,                0.59934,                0.23492,                0.91605,             0.00026161,             0.00026161,             0.00026161
                     67,                0.48991,                0.24498,                0.87023,                0.99605,                0.99082,                0.99439,                0.86526,                0.58785,                 0.2323,                0.90773,             0.00025454,             0.00025454,             0.00025454
                     68,                0.49187,                0.24288,                0.86484,                 0.9943,                0.99404,                0.99461,                 0.8587,                0.61333,                0.23613,                 0.9159,             0.00024747,             0.00024747,             0.00024747
                     69,                0.50463,                0.24734,                 0.8635,                0.99412,                0.99323,                0.99414,                0.86936,                0.58403,                0.23262,                0.90849,              0.0002404,              0.0002404,              0.0002404
                     70,                0.48869,                0.24288,                0.85714,                0.99397,                0.99125,                  0.994,                0.86792,                0.58291,                 0.2328,                0.90005,             0.00023334,             0.00023334,             0.00023334
                     71,                0.49234,                0.24151,                0.85667,                0.99413,                0.99237,                0.99388,                0.86883,                0.59369,                0.23041,                 0.9033,             0.00022627,             0.00022627,             0.00022627
                     72,                0.48207,                0.24079,                0.85681,                0.99271,                0.99211,                0.99389,                0.86511,                 0.6047,                0.23612,                0.90488,              0.0002192,              0.0002192,              0.0002192
                     73,                0.48473,                0.23993,                0.85465,                 0.9957,                0.98976,                0.99467,                 0.8685,                0.58903,                0.22904,                 0.9024,             0.00021213,             0.00021213,             0.00021213
                     74,                0.49026,                0.24551,                0.85838,                0.99705,                0.98651,                0.99445,                0.86671,                0.59255,                0.22956,                0.90327,             0.00020506,             0.00020506,             0.00020506
                     75,                0.48372,                0.24158,                0.85679,                 0.9968,                0.98786,                 0.9938,                0.86913,                0.58922,                0.22955,                0.90237,             0.00019799,             0.00019799,             0.00019799
                     76,                0.48455,                 0.2416,                  0.861,                0.99741,                0.98981,                0.99403,                0.87201,                0.57948,                0.22273,                0.90083,             0.00019092,             0.00019092,             0.00019092
                     77,                0.46957,                0.23607,                0.85489,                0.99518,                0.99029,                0.99461,                0.87333,                 0.5816,                0.22177,                0.89822,             0.00018385,             0.00018385,             0.00018385
                     78,                0.46724,                0.23042,                0.84721,                0.99574,                 0.9908,                0.99471,                0.87901,                0.57513,                0.22092,                0.89909,             0.00017679,             0.00017679,             0.00017679
                     79,                0.46238,                0.23595,                0.84837,                0.99435,                0.98712,                0.99437,                 0.8668,                0.59445,                0.22661,                0.90559,             0.00016972,             0.00016972,             0.00016972
                     80,                0.46664,                0.23598,                0.85351,                0.99774,                0.98962,                0.99366,                0.87453,                0.57834,                0.22575,                0.90135,             0.00016265,             0.00016265,             0.00016265
                     81,                0.46723,                0.23789,                 0.8577,                0.99664,                0.99105,                 0.9945,                0.87384,                0.57245,                0.22139,                0.89906,             0.00015558,             0.00015558,             0.00015558
                     82,                0.46066,                0.23185,                0.84984,                 0.9887,                0.99376,                0.99409,                0.87226,                0.57641,                0.22579,                0.90026,             0.00014851,             0.00014851,             0.00014851
                     83,                0.47362,                0.23609,                0.85581,                0.99399,                0.99213,                 0.9944,                0.87417,                0.57407,                0.22444,                0.90085,             0.00014144,             0.00014144,             0.00014144
                     84,                0.45452,                 0.2319,                0.85793,                0.99117,                0.98863,                0.99435,                 0.8696,                 0.5859,                0.22632,                0.90371,             0.00013437,             0.00013437,             0.00013437
                     85,                0.45609,                0.22761,                0.85594,                 0.9966,                0.98853,                0.99436,                0.87415,                0.57233,                0.22131,                0.89923,             0.00012731,             0.00012731,             0.00012731
                     86,                0.45305,                0.22944,                0.84867,                0.99565,                0.98884,                0.99458,                0.87551,                0.57027,                0.21911,                0.89817,             0.00012024,             0.00012024,             0.00012024
                     87,                0.45512,                0.22527,                0.85453,                0.99082,                0.99526,                0.99458,                0.87937,                0.56348,                0.21781,                0.89628,             0.00011317,             0.00011317,             0.00011317
                     88,                0.45643,                0.22892,                0.85812,                0.99593,                0.99064,                0.99453,                 0.8764,                0.57597,                0.22421,                0.89941,              0.0001061,              0.0001061,              0.0001061
                     89,                0.44056,                0.22597,                0.84871,                0.99053,                0.99549,                0.99371,                0.87436,                0.57043,                0.21831,                0.90047,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.45724,                0.22708,                0.84719,                0.99819,                0.98822,                0.99395,                 0.8783,                0.57107,                0.21812,                0.90001,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.41924,                0.19752,                0.82783,                0.99708,                0.98798,                0.99441,                0.87763,                0.57224,                0.21859,                0.90217,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.40905,                0.19016,                0.82642,                 0.9913,                0.99304,                0.99391,                 0.8704,                0.58776,                0.22263,                0.90517,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.39538,                0.18617,                0.82173,                0.99678,                0.98798,                0.99399,                0.87412,                0.56871,                 0.2206,                 0.9006,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.40191,                 0.1884,                0.83075,                0.99554,                0.98798,                0.99398,                0.87864,                 0.5659,                0.21878,                 0.8998,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.39536,                0.18452,                0.83138,                0.99501,                0.98636,                0.99402,                0.87721,                0.56657,                0.22129,                0.89971,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.38555,                0.18237,                0.82601,                 0.9959,                0.98798,                0.99391,                0.87863,                0.55882,                0.21794,                0.89572,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                  0.389,                0.18569,                 0.8231,                 0.9961,                0.98798,                0.99394,                 0.8801,                0.55677,                0.21545,                0.89627,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.38451,                0.18489,                 0.8273,                0.99553,                0.98798,                0.99406,                0.87891,                0.56088,                0.21597,                0.89618,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.38375,                0.18182,                0.82554,                0.99485,                 0.9885,                0.99392,                0.87836,                0.56217,                 0.2159,                0.89804,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.38156,                0.18373,                 0.8225,                0.99508,                  0.989,                0.99395,                0.87911,                0.56125,                0.21724,                0.89803,             2.1277e-05,             2.1277e-05,             2.1277e-05
